"filename", "language", "go", "Shell Script", "Batch", "Properties", "env", "Protocol Buffers", "Markdown", "Go Module File", "YAML", "Ini", "Go Checksum File", "JSON", "Makefile", "Ignore", "NGINX Conf", "Database", "comment", "blank", "total"
"d:\tmp\Open-IM-Server\deploy_k8s\build_push_all_images.sh", "Shell Script", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 31
"d:\tmp\Open-IM-Server\deploy_k8s\cache\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 0, 42
"d:\tmp\Open-IM-Server\deploy_k8s\cms_api\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56
"d:\tmp\Open-IM-Server\deploy_k8s\conversation\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 3, 45
"d:\tmp\Open-IM-Server\deploy_k8s\demo\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56
"d:\tmp\Open-IM-Server\deploy_k8s\friend\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 2, 44
"d:\tmp\Open-IM-Server\deploy_k8s\group\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 0, 42
"d:\tmp\Open-IM-Server\deploy_k8s\ingress.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119
"d:\tmp\Open-IM-Server\deploy_k8s\k8s_openim_deploy.md", "Markdown", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 100
"d:\tmp\Open-IM-Server\deploy_k8s\kubectl_start_all.sh", "Shell Script", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 12
"d:\tmp\Open-IM-Server\deploy_k8s\kubectl_stop_all.sh", "Shell Script", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 36
"d:\tmp\Open-IM-Server\deploy_k8s\msg\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 0, 42
"d:\tmp\Open-IM-Server\deploy_k8s\msg_gateway\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 1, 2, 61
"d:\tmp\Open-IM-Server\deploy_k8s\msg_transfer\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 1, 41
"d:\tmp\Open-IM-Server\deploy_k8s\office\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 0, 42
"d:\tmp\Open-IM-Server\deploy_k8s\organization\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 0, 42
"d:\tmp\Open-IM-Server\deploy_k8s\path_info.cfg", "Properties", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 22
"d:\tmp\Open-IM-Server\deploy_k8s\push\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 0, 42
"d:\tmp\Open-IM-Server\deploy_k8s\sdk_server\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 2, 57
"d:\tmp\Open-IM-Server\deploy_k8s\user\deployment.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 1, 41
"d:\tmp\Open-IM-Server\docker-compose-mongos.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 7, 14, 140
"d:\tmp\Open-IM-Server\docker-compose-shard-cluster.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 13, 3, 113
"d:\tmp\Open-IM-Server\docker-compose.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 15, 13, 200
"d:\tmp\Open-IM-Server\docker-compose_cfg\config.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 2, 11, 65
"d:\tmp\Open-IM-Server\docker-compose_cfg\datasource-compose.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 1, 13
"d:\tmp\Open-IM-Server\docker-compose_cfg\grafana.db", "Database", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2269, 0, 24, 2293
"d:\tmp\Open-IM-Server\docker-compose_cfg\grafana.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 995, 0, 0, 0, 0, 0, 0, 1, 289, 1285
"d:\tmp\Open-IM-Server\docker-compose_cfg\node-exporter-full_rev1.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7253, 0, 0, 0, 0, 0, 0, 7253
